xflr5 v6.58

Plane name :        Windtunnel 3D
Polar name :        T1-50.0 m/s-LLT
Free-stream speed :  50.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   14.900     0.000   1.005826   0.064658   0.023645   0.088302   0.000000  -0.000000  -0.229905  -0.000000  -0.000000   50.0000     0.0512
   15.000     0.000   1.009705   0.065209   0.024028   0.089238   0.000000  -0.000000  -0.230536   0.000000   0.000000   50.0000     0.0511
   15.100     0.000   1.013317   0.065712   0.024437   0.090149   0.000000  -0.000000  -0.231049   0.000000   0.000000   50.0000     0.0510
   15.200     0.000   1.016874   0.066213   0.024860   0.091073   0.000000  -0.000000  -0.231558   0.000000   0.000000   50.0000     0.0509
   15.300     0.000   1.020563   0.066729   0.025274   0.092003   0.000000  -0.000000  -0.232125   0.000000   0.000000   50.0000     0.0508
   15.400     0.000   1.024193   0.067248   0.025690   0.092938   0.000000  -0.000000  -0.232684   0.000000   0.000000   50.0000     0.0507
   15.500     0.000   1.027678   0.067727   0.026129   0.093855   0.000000  -0.000000  -0.233182   0.000000   0.000000   50.0000     0.0506
   15.600     0.000   1.031179   0.068232   0.026575   0.094807   0.000000  -0.000000  -0.233735   0.000000   0.000000   50.0000     0.0505
   15.700     0.000   1.034614   0.068747   0.027035   0.095782   0.000000  -0.000000  -0.234302   0.000000   0.000000   50.0000     0.0504
   15.800     0.000   1.037873   0.069243   0.027522   0.096765   0.000000  -0.000000  -0.234826   0.000000  -0.000000   50.0000     0.0503
   15.900     0.000   1.041026   0.069729   0.028027   0.097756   0.000000  -0.000000  -0.235330   0.000000  -0.000000   50.0000     0.0503
   16.000     0.000   1.044291   0.070227   0.028527   0.098754   0.000000  -0.000000  -0.235886   0.000000  -0.000000   50.0000     0.0502
   16.100     0.000   1.047549   0.070733   0.029030   0.099763   0.000000  -0.000000  -0.236461   0.000000   0.000000   50.0000     0.0501
   16.200     0.000   1.050651   0.071232   0.029552   0.100783   0.000000  -0.000000  -0.237011   0.000000  -0.000000   50.0000     0.0500
   16.300     0.000   1.053669   0.071717   0.030091   0.101808   0.000000  -0.000000  -0.237547  -0.000000  -0.000000   50.0000     0.0500
   16.400     0.000   1.056579   0.072192   0.030644   0.102837   0.000000  -0.000000  -0.238060   0.000000  -0.000000   50.0000     0.0499
   16.500     0.000   1.059334   0.072658   0.031218   0.103875   0.000000  -0.000000  -0.238548   0.000000   0.000000   50.0000     0.0498
   16.600     0.000   1.061965   0.073106   0.031816   0.104922   0.000000  -0.000000  -0.239020   0.000000   0.000000   50.0000     0.0498
   16.700     0.000   1.064502   0.073549   0.032430   0.105978   0.000000  -0.000000  -0.239483   0.000000   0.000000   50.0000     0.0497
   16.800     0.000   1.066918   0.073978   0.033065   0.107042   0.000000  -0.000000  -0.239927  -0.000000  -0.000000   50.0000     0.0496
   16.900     0.000   1.069143   0.074386   0.033730   0.108117   0.000000  -0.000000  -0.240341   0.000000  -0.000000   50.0000     0.0496
   17.000     0.000   1.071259   0.074782   0.034416   0.109197   0.000000  -0.000000  -0.240737   0.000000  -0.000000   50.0000     0.0495
